,code,region
314,11.02.02.2004,Lawe Tua Gabungan
315,11.02.02.2005,Lawe Sigala II
316,11.02.02.2006,Lawe Sigala Timur
317,11.02.02.2007,Lawe Sigala Barat
318,11.02.02.2008,Suka Damai
319,11.02.02.2009,Kute Tengah
320,11.02.02.2010,Tanah Baru
321,11.02.02.2011,Kedataran Gabungan
322,11.02.02.2012,Gabungan Parsaroan
323,11.02.02.2013,Lawe Loning Gabungan
324,11.02.02.2014,Lawe Loning Aman
325,11.02.02.2015,Suka Maju
326,11.02.02.2016,Lawe Tua Makmur
327,11.02.02.2017,Lawe Tua Persatuan
328,11.02.02.2018,Lawe Serke
329,11.02.02.2019,Lawe Rakat
330,11.02.02.2020,Suka Jaya
331,11.02.02.2021,Enmiya Batu Dua Ratus
332,11.02.02.2022,Sebungke
333,11.02.02.2023,Bukit Sepakat
334,11.02.02.2024,Lawe Loning Sepakat
335,11.02.02.2025,Lawe Loning I
336,11.02.02.2026,Gaya Jaya
337,11.02.02.2027,Gelah Musara
338,11.02.02.2028,Mulie Dame
339,11.02.02.2029,Lawe Loning Hakhapen
340,11.02.02.2030,Karya Indah
341,11.02.02.2031,Kayu Mbelin
342,11.02.02.2032,Lawe Sigala Barat Jaya
343,11.02.02.2033,Lawe Pekhidinen
344,11.02.02.2034,Kertimbang
345,11.02.02.2035,Ndauh Nitenggo
346,11.02.03,Bambel
347,11.02.03.2001,Bambel Gabungan
348,11.02.03.2002,Kisam
349,11.02.03.2005,Lawe Hijo
350,11.02.03.2006,Pinding
351,11.02.03.2009,Terutung Megara Asli
352,11.02.03.2011,Biak Muli
353,11.02.03.2012,Kute Lang-Lang
354,11.02.03.2013,Pedesi
355,11.02.03.2014,Terutung Payung Hulu
356,11.02.03.2015,Terutung Payung Hilir
357,11.02.03.2016,Tualang Sembilar
358,11.02.03.2017,Kuning I
359,11.02.03.2018,Kuning II
360,11.02.03.2019,Cinta Damai
361,11.02.03.2020,Likat
362,11.02.03.2021,Rikit
363,11.02.03.2023,Bambel
364,11.02.03.2025,Lawe Kihing
365,11.02.03.2026,Terutung Seperai
366,11.02.03.2027,Kute Seri
367,11.02.03.2028,Kuta Antara
368,11.02.03.2029,Pulo Perengge
369,11.02.03.2031,Pulo Kendondong
370,11.02.03.2033,Pancakh Iman
371,11.02.03.2034,Biak Muli Baru
372,11.02.03.2035,Biak Muli Pantai Raja
373,11.02.03.2036,Biak Muli Sejahtera
374,11.02.03.2037,Lembah Haji
375,11.02.03.2038,Terutung Payung Gabungan
376,11.02.03.2039,Lawe Hijo Metuah
377,11.02.03.2040,Ampera
378,11.02.03.2041,Tembilakh Mbakhu
379,11.02.03.2042,Kute Lang-Lang Bakhu
380,11.02.04,Babussalam
381,11.02.04.2001,Kota Kutacane
382,11.02.04.2002,Perapat Hilir
383,11.02.04.2003,Perapat Hulu
384,11.02.04.2004,Muara Lawe Bulan
385,11.02.04.2005,Mbarung
386,11.02.04.2006,Batu Mbulan Asli
387,11.02.04.2007,Batu Mbulan I
